Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score,Stress_Num,Risk_Index,Risk_Level,En_Riesgo,Usage_Level,Sleep_Deficit,Unlocks_Per_Hour,Study_Usage_Ratio
20,Male,Other,Undergraduate,Instagram,Entertainment,5.5,183,2.2,1.0,6.8,Very High,6.8,3,0.736,Medio,False,Alto,False,33.3,0.4
23,Female,Other,Graduate,Facebook,Networking,2.0,100,5.7,2.6,7.9,Low,7.1,0,0.239,Bajo,False,Bajo,False,50.0,2.85
19,Female,Other,Undergraduate,Snapchat,Entertainment,5.1,170,1.9,2.2,7.1,High,6.5,2,0.655,Medio,False,Alto,False,33.3,0.37
24,Male,Other,Graduate,Facebook,Networking,2.0,110,6.4,2.9,7.8,Low,8.5,0,0.129,Bajo,False,Bajo,False,55.0,3.2
23,Male,India,Graduate,TikTok,Entertainment,2.0,113,5.6,2.5,7.2,Medium,8.6,1,0.268,Bajo,False,Bajo,False,56.5,2.8
23,Female,Other,Graduate,LinkedIn,Education,7.1,210,1.0,1.0,5.4,Very High,5.1,3,0.884,Alto,True,Muy alto,True,29.6,0.14
21,Male,Other,Undergraduate,Instagram,Entertainment,6.2,208,2.2,1.1,4.7,Very High,5.7,3,0.8,Alto,True,Alto,True,33.5,0.35
20,Female,Other,Undergraduate,LinkedIn,Education,2.8,107,5.6,2.5,8.3,Low,8.2,0,0.18,Bajo,False,Bajo,False,38.2,2.0
21,Female,Other,Undergraduate,TikTok,Entertainment,7.4,249,1.1,1.2,4.6,Very High,4.7,3,0.903,Alto,True,Muy alto,True,33.6,0.15
20,Female,USA,Undergraduate,TikTok,Entertainment,5.6,175,2.3,1.9,5.7,Very High,5.1,3,0.83,Alto,True,Alto,True,31.3,0.41
23,Female,USA,Graduate,YouTube,Education,2.7,103,5.0,2.4,7.8,Medium,7.7,1,0.345,Bajo,False,Bajo,False,38.1,1.85
20,Male,Australia,Undergraduate,YouTube,Education,7.3,235,1.0,1.6,6.0,High,5.7,2,0.739,Medio,False,Muy alto,False,32.2,0.14
24,Male,Other,Graduate,Snapchat,Entertainment,2.3,113,4.4,2.5,8.2,Low,8.1,0,0.236,Bajo,False,Bajo,False,49.1,1.91
19,Male,India,Undergraduate,LinkedIn,Education,5.6,170,1.2,2.0,6.9,High,6.6,2,0.679,Medio,False,Alto,False,30.4,0.21
22,Female,India,Undergraduate,Facebook,Networking,7.5,234,1.0,1.6,5.2,Very High,4.0,3,0.948,Alto,True,Muy alto,True,31.2,0.13
24,Male,UK,Graduate,TikTok,Entertainment,5.9,185,1.3,1.1,5.9,Very High,4.9,3,0.883,Alto,True,Alto,True,31.4,0.22
18,Male,UK,High School,Instagram,Entertainment,6.8,219,1.5,0.4,5.5,Very High,4.2,3,0.915,Alto,True,Muy alto,True,32.2,0.22
23,Male,Other,Graduate,Snapchat,Entertainment,6.7,214,1.0,2.1,5.5,Very High,5.0,3,0.89,Alto,True,Muy alto,True,31.9,0.15
22,Male,Other,Undergraduate,Instagram,Entertainment,4.5,176,3.2,2.0,6.1,High,6.6,2,0.595,Medio,False,Moderado,False,39.1,0.71
22,Male,USA,Undergraduate,LinkedIn,Education,5.7,204,3.3,0.7,6.8,Medium,6.3,1,0.497,Medio,False,Alto,False,35.8,0.58
19,Female,Other,Undergraduate,Facebook,Networking,2.3,108,5.4,2.1,8.0,Low,8.5,0,0.171,Bajo,False,Bajo,False,47.0,2.35
24,Male,Other,Graduate,Twitter,News,8.3,259,1.0,1.3,5.5,Very High,4.3,3,0.93,Alto,True,Muy alto,True,31.2,0.12
21,Female,Other,Undergraduate,Twitter,News,6.5,222,1.0,1.2,5.7,High,4.2,2,0.825,Alto,True,Muy alto,True,34.2,0.15
22,Female,Other,Undergraduate,Twitter,News,6.9,204,1.0,1.0,5.3,Very High,4.5,3,0.919,Alto,True,Muy alto,True,29.6,0.14
20,Male,Other,Undergraduate,TikTok,Entertainment,8.1,256,1.0,1.7,4.5,Very High,5.7,3,0.85,Alto,True,Muy alto,True,31.6,0.12
20,Female,Other,Undergraduate,Instagram,Entertainment,7.2,235,1.0,0.7,4.8,Very High,4.2,3,0.936,Alto,True,Muy alto,True,32.6,0.14
20,Male,Other,Undergraduate,Twitter,News,4.1,132,4.6,1.6,6.6,Medium,6.7,1,0.419,Bajo,False,Moderado,False,32.2,1.12
18,Male,Other,High School,LinkedIn,Education,7.2,240,1.0,1.3,4.5,Very High,5.9,3,0.838,Alto,True,Muy alto,True,33.3,0.14
19,Female,Other,Undergraduate,Twitter,News,5.2,182,3.1,1.9,7.5,High,6.4,2,0.611,Medio,False,Alto,False,35.0,0.6
20,Male,UK,Undergraduate,Instagram,Entertainment,7.4,223,1.0,1.4,5.2,Very High,5.0,3,0.89,Alto,True,Muy alto,True,30.1,0.14
21,Male,Germany,Undergraduate,Instagram,Entertainment,3.6,134,3.9,2.6,7.1,Medium,8.5,1,0.345,Bajo,False,Bajo,False,37.2,1.08
22,Female,Other,Undergraduate,YouTube,Education,8.0,244,1.0,1.1,5.4,Very High,4.7,3,0.907,Alto,True,Muy alto,True,30.5,0.12
19,Female,Other,Undergraduate,Twitter,News,7.9,258,1.0,1.3,5.0,Very High,4.9,3,0.896,Alto,True,Muy alto,True,32.7,0.13
21,Female,India,Undergraduate,YouTube,Education,6.8,233,1.0,1.2,5.3,Very High,4.6,3,0.913,Alto,True,Muy alto,True,34.3,0.15
22,Male,Australia,Undergraduate,Twitter,News,7.3,239,1.0,1.2,5.5,Very High,4.7,3,0.907,Alto,True,Muy alto,True,32.7,0.14
21,Male,Other,Undergraduate,LinkedIn,Education,3.4,136,4.6,2.2,8.6,Low,8.8,0,0.188,Bajo,False,Bajo,False,40.0,1.35
21,Female,UK,Undergraduate,LinkedIn,Education,4.4,139,4.9,2.0,6.4,High,6.6,2,0.524,Medio,False,Moderado,False,31.6,1.11
22,Male,Other,Undergraduate,Twitter,News,5.9,208,1.9,1.9,4.7,Very High,5.4,3,0.829,Alto,True,Alto,True,35.3,0.32
23,Male,UK,Graduate,TikTok,Entertainment,6.0,180,1.2,1.8,4.8,Very High,5.5,3,0.853,Alto,True,Alto,True,30.0,0.2
24,Female,Other,Graduate,TikTok,Entertainment,3.0,106,5.1,2.3,8.1,Medium,8.0,1,0.324,Bajo,False,Bajo,False,35.3,1.7
19,Male,Other,Undergraduate,Instagram,Entertainment,2.7,94,5.5,1.9,8.5,Low,7.6,0,0.219,Bajo,False,Bajo,False,34.8,2.04
24,Male,Other,Graduate,Instagram,Entertainment,1.7,104,7.4,2.6,7.7,Low,8.7,0,0.076,Bajo,False,Bajo,False,61.2,4.35
22,Female,Other,Undergraduate,YouTube,Education,6.2,199,2.5,1.4,5.3,Very High,5.5,3,0.799,Alto,True,Alto,True,32.1,0.4
21,Male,Other,Undergraduate,TikTok,Entertainment,1.8,79,6.5,2.6,7.9,Low,8.1,0,0.148,Bajo,False,Bajo,False,43.9,3.61
24,Female,Other,Graduate,Twitter,News,7.1,205,2.1,2.3,5.2,Very High,4.8,3,0.856,Alto,True,Muy alto,True,28.9,0.3
20,Female,India,Undergraduate,Snapchat,Entertainment,6.5,203,1.0,1.1,5.7,High,4.1,2,0.831,Alto,True,Muy alto,True,31.2,0.15
22,Male,Other,Undergraduate,Snapchat,Entertainment,7.6,243,1.0,1.3,5.9,Very High,6.0,3,0.833,Alto,True,Muy alto,True,32.0,0.13
19,Female,Other,Undergraduate,LinkedIn,Education,4.9,186,2.4,2.3,6.8,High,6.6,2,0.628,Medio,False,Moderado,False,38.0,0.49
24,Female,Other,Graduate,Instagram,Entertainment,8.2,251,1.0,1.0,5.3,Very High,4.4,3,0.925,Alto,True,Muy alto,True,30.6,0.12
21,Male,Other,Undergraduate,Snapchat,Entertainment,5.2,179,1.7,2.9,6.4,High,6.1,2,0.687,Medio,False,Alto,False,34.4,0.33
19,Female,Other,Undergraduate,Instagram,Entertainment,2.9,130,5.6,2.1,7.9,Medium,7.7,1,0.32,Bajo,False,Bajo,False,44.8,1.93
23,Female,Other,Graduate,YouTube,Education,4.4,171,3.4,2.1,7.3,High,6.2,2,0.609,Medio,False,Moderado,False,38.9,0.77
20,Female,Other,Undergraduate,Snapchat,Entertainment,4.0,136,2.8,1.6,7.5,Medium,7.2,1,0.466,Bajo,False,Moderado,False,34.0,0.7
23,Male,Other,Graduate,TikTok,Entertainment,6.4,224,1.0,1.2,5.2,Very High,4.6,3,0.913,Alto,True,Muy alto,True,35.0,0.16
22,Male,UK,Undergraduate,Facebook,Networking,8.2,249,1.0,1.1,4.6,Very High,4.1,3,0.942,Alto,True,Muy alto,True,30.4,0.12
22,Male,Other,Undergraduate,Twitter,News,5.1,189,3.6,2.1,6.5,High,6.9,2,0.561,Medio,False,Alto,False,37.1,0.71
19,Male,Other,Undergraduate,YouTube,Education,2.5,91,7.1,2.5,7.6,Medium,8.4,1,0.217,Bajo,False,Bajo,False,36.4,2.84
22,Male,Other,Undergraduate,Facebook,Networking,6.5,190,3.8,2.0,5.8,Very High,5.5,3,0.744,Medio,False,Muy alto,True,29.2,0.58
24,Female,Australia,Graduate,YouTube,Education,7.5,247,1.0,1.1,4.7,Very High,5.3,3,0.873,Alto,True,Muy alto,True,32.9,0.13
24,Male,Other,Graduate,LinkedIn,Education,3.2,131,4.0,2.0,7.1,Medium,8.6,1,0.335,Bajo,False,Bajo,False,40.9,1.25
23,Male,Germany,Graduate,Facebook,Networking,7.3,214,1.0,2.5,5.7,Very High,5.3,3,0.873,Alto,True,Muy alto,True,29.3,0.14
18,Female,USA,High School,Instagram,Entertainment,5.7,202,2.5,1.8,5.1,High,4.9,2,0.722,Medio,False,Alto,True,35.4,0.44
23,Female,Other,Graduate,Instagram,Entertainment,4.7,146,2.6,1.5,6.1,High,6.6,2,0.62,Medio,False,Moderado,False,31.1,0.55
22,Male,Other,Undergraduate,Twitter,News,5.9,199,1.8,1.2,6.0,High,7.0,2,0.631,Medio,False,Alto,False,33.7,0.31
18,Male,Other,High School,YouTube,Education,7.4,218,1.0,0.7,5.0,Very High,4.7,3,0.907,Alto,True,Muy alto,True,29.5,0.14
18,Male,India,High School,TikTok,Entertainment,8.4,237,1.0,1.4,5.9,Very High,5.3,3,0.873,Alto,True,Muy alto,True,28.2,0.12
19,Male,India,Undergraduate,Instagram,Entertainment,8.1,259,1.0,0.8,4.8,Very High,4.1,3,0.942,Alto,True,Muy alto,True,32.0,0.12
22,Female,Other,Undergraduate,LinkedIn,Education,3.6,148,4.5,2.2,8.6,Medium,8.6,1,0.314,Bajo,False,Bajo,False,41.1,1.25
20,Male,Canada,Undergraduate,Twitter,News,5.8,174,2.1,1.5,5.6,High,5.5,2,0.704,Medio,False,Alto,True,30.0,0.36
21,Female,USA,Undergraduate,Snapchat,Entertainment,8.0,228,1.0,1.4,5.8,Very High,5.1,3,0.884,Alto,True,Muy alto,True,28.5,0.12
23,Male,India,Graduate,Snapchat,Entertainment,5.7,191,1.0,1.2,5.9,High,5.2,2,0.768,Alto,True,Alto,True,33.5,0.18
18,Male,Australia,High School,TikTok,Entertainment,8.0,226,1.0,0.5,4.6,Very High,5.8,3,0.844,Alto,True,Muy alto,True,28.2,0.12
23,Male,UK,Graduate,Instagram,Entertainment,3.7,146,4.3,2.2,8.4,Low,7.2,0,0.292,Bajo,False,Bajo,False,39.5,1.16
20,Male,Other,Undergraduate,Facebook,Networking,3.4,146,6.0,2.5,8.6,Low,8.7,0,0.135,Bajo,False,Bajo,False,42.9,1.76
23,Female,Australia,Graduate,Facebook,Networking,3.3,137,4.8,2.3,8.6,Medium,8.3,1,0.319,Bajo,False,Bajo,False,41.5,1.45
18,Female,Canada,High School,Snapchat,Entertainment,3.1,111,5.7,1.8,7.8,Medium,7.5,1,0.327,Bajo,False,Bajo,False,35.8,1.84
21,Male,Other,Undergraduate,LinkedIn,Education,8.2,236,1.0,1.3,6.0,Very High,5.4,3,0.867,Alto,True,Muy alto,False,28.8,0.12
20,Male,USA,Undergraduate,LinkedIn,Education,4.1,154,3.0,1.6,7.2,Medium,6.8,1,0.481,Bajo,False,Moderado,False,37.6,0.73
18,Female,Other,High School,TikTok,Entertainment,3.5,114,3.7,1.9,7.0,Medium,6.5,1,0.469,Bajo,False,Bajo,False,32.6,1.06
21,Male,Other,Undergraduate,Facebook,Networking,5.9,193,1.5,1.1,6.0,Very High,6.7,3,0.772,Alto,True,Alto,False,32.7,0.25
22,Male,Germany,Undergraduate,YouTube,Education,5.6,182,4.1,2.3,5.6,High,5.7,2,0.609,Medio,False,Alto,True,32.5,0.73
22,Male,Canada,Undergraduate,YouTube,Education,3.8,149,3.5,2.4,7.5,Medium,7.9,1,0.396,Bajo,False,Bajo,False,39.2,0.92
20,Male,Other,Undergraduate,Facebook,Networking,3.8,128,4.9,2.4,7.6,High,8.7,2,0.403,Bajo,False,Bajo,False,33.7,1.29
21,Female,Other,Undergraduate,Facebook,Networking,5.8,200,1.5,2.2,5.8,Very High,4.9,3,0.875,Alto,True,Alto,True,34.5,0.26
18,Male,Other,High School,Snapchat,Entertainment,3.7,144,5.0,3.5,7.5,Low,7.0,0,0.274,Bajo,False,Bajo,False,38.9,1.35
20,Female,Other,Undergraduate,LinkedIn,Education,2.9,106,5.4,1.4,8.3,Medium,8.4,1,0.288,Bajo,False,Bajo,False,36.6,1.86
21,Male,India,Undergraduate,LinkedIn,Education,4.5,151,3.4,1.5,7.5,Medium,7.0,1,0.452,Bajo,False,Moderado,False,33.6,0.76
21,Male,Other,Undergraduate,Snapchat,Entertainment,3.8,122,4.2,1.7,7.2,Medium,6.1,1,0.471,Bajo,False,Bajo,False,32.1,1.11
20,Male,Other,Undergraduate,Twitter,News,2.9,114,4.6,1.8,8.2,Low,7.6,0,0.256,Bajo,False,Bajo,False,39.3,1.59
23,Male,Other,Graduate,Twitter,News,5.0,160,3.4,1.2,6.7,High,6.8,2,0.575,Medio,False,Moderado,False,32.0,0.68
21,Male,Other,Undergraduate,Instagram,Entertainment,6.5,191,1.1,1.2,5.6,Very High,4.3,3,0.926,Alto,True,Muy alto,True,29.4,0.17
22,Female,UK,Undergraduate,Instagram,Entertainment,3.6,137,3.4,1.5,7.1,Medium,6.0,1,0.51,Medio,False,Bajo,False,38.1,0.94
18,Male,Other,High School,LinkedIn,Education,6.9,219,1.0,1.4,5.9,Very High,4.9,3,0.896,Alto,True,Muy alto,True,31.7,0.14
23,Female,Other,Graduate,TikTok,Entertainment,2.3,85,5.8,2.5,8.3,Low,8.8,0,0.137,Bajo,False,Bajo,False,37.0,2.52
19,Male,Other,Undergraduate,Snapchat,Entertainment,2.6,97,6.7,2.6,7.8,Low,8.8,0,0.099,Bajo,False,Bajo,False,37.3,2.58
22,Male,Other,Undergraduate,Instagram,Entertainment,6.2,183,1.9,1.7,4.8,Very High,5.9,3,0.801,Alto,True,Alto,True,29.5,0.31
24,Female,Australia,Graduate,Instagram,Entertainment,3.8,147,4.1,2.4,7.3,High,6.5,2,0.563,Medio,False,Bajo,False,38.7,1.08
20,Female,Other,Undergraduate,Instagram,Entertainment,7.5,225,1.0,0.9,4.7,Very High,4.6,3,0.913,Alto,True,Muy alto,True,30.0,0.13
20,Male,India,Undergraduate,Instagram,Entertainment,3.8,122,5.2,3.1,8.2,High,7.8,2,0.442,Bajo,False,Bajo,False,32.1,1.37
21,Female,Other,Undergraduate,TikTok,Entertainment,8.4,242,1.0,1.0,5.3,Very High,5.9,3,0.838,Alto,True,Muy alto,True,28.8,0.12
24,Female,Other,Graduate,Twitter,News,5.9,211,1.8,0.6,4.9,Very High,4.1,3,0.908,Alto,True,Alto,True,35.8,0.31
22,Male,Australia,Undergraduate,YouTube,Education,6.0,185,2.9,1.0,6.8,High,6.9,2,0.59,Medio,False,Alto,False,30.8,0.48
23,Male,Other,Graduate,TikTok,Entertainment,3.5,139,4.8,1.3,8.5,Medium,7.3,1,0.376,Bajo,False,Bajo,False,39.7,1.37
21,Male,Other,Undergraduate,LinkedIn,Education,3.1,120,6.1,2.2,8.5,Low,8.5,0,0.142,Bajo,False,Bajo,False,38.7,1.97
19,Female,Canada,Undergraduate,Instagram,Entertainment,4.5,144,3.6,1.8,6.1,High,6.6,2,0.578,Medio,False,Moderado,False,32.0,0.8
21,Female,Other,Undergraduate,Instagram,Entertainment,5.6,177,1.4,1.4,5.4,Very High,5.1,3,0.868,Alto,True,Alto,True,31.6,0.25
21,Female,Other,Undergraduate,Facebook,Networking,3.6,115,3.3,3.1,7.2,Medium,9.0,1,0.342,Bajo,False,Bajo,False,31.9,0.92
18,Male,UK,High School,LinkedIn,Education,7.3,236,2.0,1.4,5.3,Very High,4.0,3,0.906,Alto,True,Muy alto,True,32.3,0.27
21,Female,Other,Undergraduate,YouTube,Education,8.3,245,1.1,1.3,5.1,Very High,4.2,3,0.932,Alto,True,Muy alto,True,29.5,0.13
20,Female,India,Undergraduate,LinkedIn,Education,5.1,171,2.8,1.3,6.3,High,6.1,2,0.64,Medio,False,Alto,False,33.5,0.55
24,Female,India,Graduate,YouTube,Education,3.4,116,4.3,1.7,8.0,Medium,7.5,1,0.386,Bajo,False,Bajo,False,34.1,1.26
22,Female,Other,Undergraduate,Instagram,Entertainment,8.0,257,1.2,1.0,4.9,Very High,4.0,3,0.939,Alto,True,Muy alto,True,32.1,0.15
18,Male,Other,High School,LinkedIn,Education,3.7,125,3.4,2.2,6.9,Medium,6.9,1,0.458,Bajo,False,Bajo,False,33.8,0.92
18,Female,Other,High School,Instagram,Entertainment,3.3,129,4.0,1.2,8.3,Medium,8.5,1,0.341,Bajo,False,Bajo,False,39.1,1.21
21,Male,Other,Undergraduate,Twitter,News,5.3,191,3.2,1.6,7.3,High,6.7,2,0.589,Medio,False,Alto,False,36.0,0.6
23,Female,USA,Graduate,Instagram,Entertainment,3.8,148,3.9,2.1,7.4,Medium,7.1,1,0.426,Bajo,False,Bajo,False,38.9,1.03
24,Male,Other,Graduate,Instagram,Entertainment,3.7,141,4.3,2.0,7.4,Medium,8.7,1,0.317,Bajo,False,Bajo,False,38.1,1.16
22,Female,Other,Undergraduate,Twitter,News,1.9,107,6.0,2.1,9.0,Low,8.6,0,0.14,Bajo,False,Bajo,False,56.3,3.16
21,Female,Germany,Undergraduate,Facebook,Networking,4.4,142,3.9,1.6,6.5,High,6.5,2,0.571,Medio,False,Moderado,False,32.3,0.89
18,Female,UK,High School,LinkedIn,Education,4.0,163,5.1,1.9,6.9,High,6.1,2,0.544,Medio,False,Moderado,False,40.8,1.27
20,Male,Other,Undergraduate,YouTube,Education,5.6,187,2.5,1.6,5.3,Very High,5.4,3,0.804,Alto,True,Alto,True,33.4,0.45
22,Female,Other,Undergraduate,YouTube,Education,3.2,121,5.3,2.5,8.3,Low,7.5,0,0.233,Bajo,False,Bajo,False,37.8,1.66
21,Female,UK,Undergraduate,Snapchat,Entertainment,6.1,187,1.0,2.0,4.5,Very High,4.1,3,0.942,Alto,True,Alto,True,30.7,0.16
18,Female,Australia,High School,TikTok,Entertainment,5.3,186,2.7,1.5,7.1,High,6.4,2,0.627,Medio,False,Alto,False,35.1,0.51
18,Female,Other,High School,LinkedIn,Education,5.6,204,1.7,1.4,5.9,High,5.2,2,0.738,Medio,False,Alto,True,36.4,0.3
24,Male,Other,Graduate,TikTok,Entertainment,6.3,209,1.0,1.6,5.5,Very High,5.6,3,0.856,Alto,True,Alto,True,33.2,0.16
23,Female,Other,Graduate,Snapchat,Entertainment,5.8,171,1.5,1.9,6.9,High,6.1,2,0.695,Medio,False,Alto,False,29.5,0.26
23,Male,Canada,Graduate,Twitter,News,2.8,113,4.9,2.1,7.7,Medium,8.1,1,0.326,Bajo,False,Bajo,False,40.4,1.75
18,Female,Other,High School,YouTube,Education,6.5,216,2.2,1.8,5.6,Very High,4.3,3,0.88,Alto,True,Muy alto,True,33.2,0.34
23,Female,Australia,Graduate,Snapchat,Entertainment,4.6,155,2.3,2.3,6.9,High,6.6,2,0.633,Medio,False,Moderado,False,33.7,0.5
18,Female,USA,High School,TikTok,Entertainment,7.0,230,1.0,1.9,4.9,Very High,5.4,3,0.867,Alto,True,Muy alto,True,32.9,0.14
18,Male,Other,High School,Twitter,News,1.8,98,5.8,3.4,8.0,Low,8.0,0,0.183,Bajo,False,Bajo,False,54.4,3.22
18,Male,Other,High School,Instagram,Entertainment,3.7,119,4.0,1.6,6.3,Medium,6.5,1,0.456,Bajo,False,Bajo,False,32.2,1.08
18,Male,Other,High School,TikTok,Entertainment,7.9,244,1.0,1.0,5.9,Very High,4.7,3,0.907,Alto,True,Muy alto,True,30.9,0.13
22,Male,India,Undergraduate,Snapchat,Entertainment,4.6,146,3.8,1.9,6.6,Medium,6.9,1,0.441,Bajo,False,Moderado,False,31.7,0.83
20,Female,Other,Undergraduate,Twitter,News,8.2,248,1.0,0.9,5.8,Very High,4.6,3,0.913,Alto,True,Muy alto,True,30.2,0.12
21,Female,Other,Undergraduate,TikTok,Entertainment,8.4,250,1.0,0.6,5.9,Very High,5.0,3,0.89,Alto,True,Muy alto,True,29.8,0.12
22,Female,Other,Undergraduate,TikTok,Entertainment,3.7,149,3.7,1.3,7.1,Medium,6.7,1,0.457,Bajo,False,Bajo,False,40.3,1.0
23,Female,Other,Graduate,TikTok,Entertainment,7.3,241,1.0,1.2,5.5,Very High,5.7,3,0.85,Alto,True,Muy alto,True,33.0,0.14
24,Female,Other,Graduate,Twitter,News,2.9,115,5.3,1.9,7.7,Medium,8.1,1,0.31,Bajo,False,Bajo,False,39.7,1.83
18,Male,Other,High School,Twitter,News,1.8,91,6.3,2.6,8.9,Low,8.6,0,0.128,Bajo,False,Bajo,False,50.6,3.5
23,Female,Other,Graduate,Snapchat,Entertainment,6.3,207,1.0,1.0,5.7,Very High,5.9,3,0.838,Alto,True,Alto,True,32.9,0.16
19,Male,Other,Undergraduate,YouTube,Education,3.4,136,4.7,1.6,8.6,Low,7.6,0,0.252,Bajo,False,Bajo,False,40.0,1.38
24,Male,Other,Graduate,Facebook,Networking,5.7,192,2.5,1.7,6.8,High,6.6,2,0.624,Medio,False,Alto,False,33.7,0.44
24,Female,Other,Graduate,Facebook,Networking,3.8,151,6.2,2.1,7.4,Medium,6.3,1,0.375,Bajo,False,Bajo,False,39.7,1.63
21,Male,Other,Undergraduate,TikTok,Entertainment,3.6,154,5.9,2.4,7.4,Medium,7.8,1,0.302,Bajo,False,Bajo,False,42.8,1.64
18,Female,Other,High School,Facebook,Networking,6.5,220,1.0,2.5,4.7,Very High,4.8,3,0.902,Alto,True,Muy alto,True,33.8,0.15
24,Female,Other,Graduate,YouTube,Education,7.8,225,1.0,1.2,5.4,Very High,5.6,3,0.856,Alto,True,Muy alto,True,28.8,0.13
22,Male,USA,Undergraduate,TikTok,Entertainment,3.7,136,3.1,2.3,7.1,Medium,7.5,1,0.436,Bajo,False,Bajo,False,36.8,0.84
18,Male,Other,High School,LinkedIn,Education,3.7,135,3.8,1.5,6.7,Medium,6.2,1,0.482,Bajo,False,Bajo,False,36.5,1.03
19,Male,India,Undergraduate,Facebook,Networking,5.7,187,2.6,0.9,7.2,Very High,6.2,3,0.754,Medio,False,Alto,False,32.8,0.46
18,Female,USA,High School,Facebook,Networking,3.3,128,5.7,3.0,8.0,Medium,8.8,1,0.253,Bajo,False,Bajo,False,38.8,1.73
21,Female,Other,Undergraduate,Facebook,Networking,3.3,135,4.1,1.7,8.2,Low,8.6,0,0.22,Bajo,False,Bajo,False,40.9,1.24
20,Male,Other,Undergraduate,Snapchat,Entertainment,1.8,86,5.7,2.0,8.5,Low,7.5,0,0.216,Bajo,False,Bajo,False,47.8,3.17
23,Female,Canada,Graduate,Snapchat,Entertainment,5.4,170,1.0,1.6,7.1,High,6.5,2,0.693,Medio,False,Alto,False,31.5,0.19
20,Female,Other,Undergraduate,YouTube,Education,5.9,190,2.0,1.5,4.9,High,5.1,2,0.731,Medio,False,Alto,True,32.2,0.34
20,Male,Australia,Undergraduate,LinkedIn,Education,3.3,141,3.9,1.7,8.8,Medium,7.9,1,0.38,Bajo,False,Bajo,False,42.7,1.18
24,Male,Other,Graduate,Snapchat,Entertainment,7.2,217,1.0,1.0,4.7,Very High,5.4,3,0.867,Alto,True,Muy alto,True,30.1,0.14
18,Male,Other,High School,Snapchat,Entertainment,1.6,65,5.7,3.2,8.1,Low,8.6,0,0.153,Bajo,False,Bajo,False,40.6,3.56
